'Amor, Amor, Amor (feat. Wisin)','Amor, Amor, Amor (feat. Wisin)',Jennifer Lopez,pop
Techno Vibes,Techno Vibes,Melissa Tech,dance pop
Uptown Funk (feat. Bruno Mars),Uptown Special,Mark Ronson,pop
My Kind Of Present,My Kind Of Present,Meghan Trainor,dance pop
No Te Hagas,No Te Hagas,Jory Boy,reggaeton
the lakes,folklore: the escapism chapter,Taylor Swift,dance pop
Tala,The Great Unknown,Sarah Geronimo,dance pop
Bonita,Bonita,J Balvin,reggaeton
Nada,Nada,Cali Y El Dandee,reggaeton
Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw) [Remix],Kina,pop
MAMACITA,MAMACITA,Black Eyed Peas,dance pop
Gospel of the Throttle,Bulletproof Dreams,Minutes Til Midnight,pop
Hey DJ,CNCO,CNCO,reggaeton
The First Nöel,One Wish / The Holiday Album,Whitney Houston,dance pop
'Who''s Laughing Now',Heaven & Hell,Ava Max,pop
lovely (with Khalid),lovely (with Khalid),Billie Eilish,pop
